CD,Region,소분류(11개 타입),배출량,전체 배출량,비중,code1,인간제외 소분류(기타시 중분류),code2,,,
52790,고창군,돼지,"957,368","2,793,529",34%,3,돼지,3,,,
52130,군산시,돼지,"535,945","1,981,875",27%,3,돼지,3,,,
52210,김제시,돼지,"1,189,374","3,208,643",37%,3,돼지,3,,,
52190,남원시,돼지,"763,215","2,459,092",31%,3,돼지,3,,,
52730,무주군,일반 소,"127,944","307,538",42%,2,일반 소,2,,,
52800,부안군,일반 소,"515,362","1,988,504",26%,2,일반 소,2,,,
52770,순창군,돼지,"446,280","1,289,181",35%,3,돼지,3,,,
52710,완주군,일반 소,"566,489","1,251,928",45%,2,일반 소,2,,,
52140,익산시,돼지,"1,307,427","2,828,482",46%,3,돼지,3,,,
52750,임실군,돼지,"675,434","1,273,599",53%,3,돼지,3,,,
52740,장수군,일반 소,"521,937","1,095,011",48%,2,일반 소,2,,,
52113,전주시 덕진구,돼지,"110,548","335,817",33%,3,돼지,3,,,
52111,전주시 완산구,돼지,"598,323","744,639",80%,3,돼지,3,,,
52180,정읍시,돼지,"1,888,629","4,568,882",41%,3,돼지,3,,,
52720,진안군,닭,"185,858","521,543",36%,5,닭,5,,,
50130,서귀포시,돼지,"893,389","1,700,791",53%,3,돼지,3,,,
50110,제주시,돼지,"2,860,917","4,472,121",64%,3,돼지,3,,,
44250,계룡시,돼지,"34,735","52,324",66%,3,돼지,3,,,
44150,공주시,돼지,"983,541","2,227,853",44%,3,돼지,3,,,
44710,금산군,닭,"212,078","502,998",42%,5,닭,5,,,
44230,논산시,돼지,"1,090,612","2,572,969",42%,3,돼지,3,,,
44270,당진시,SCR,"1,820,845","5,837,029",31%,14,SCR,14,,,
44180,보령시,SCR,"1,612,633","3,709,693",43%,14,SCR,14,,,
44760,부여군,일반 소,"568,130","1,547,550",37%,2,일반 소,2,,,
44210,서산시,일반 소,"484,962","1,522,511",32%,2,일반 소,2,,,
44770,서천군,돼지,"248,087","945,058",26%,3,돼지,3,,,
44200,아산시,돼지,"757,986","2,191,607",35%,3,돼지,3,,,
44810,예산군,돼지,"1,784,460","3,556,083",50%,3,돼지,3,,,
44131,천안시 동남구,돼지,"1,781,284","3,736,182",48%,3,돼지,3,,,
44133,천안시 서북구,닭,"404,206","1,249,406",32%,5,닭,5,,,
44790,청양군,돼지,"455,985","1,253,149",36%,3,돼지,3,,,
44825,태안군,SCR,"1,663,971","2,179,043",76%,14,SCR,14,,,
44800,홍성군,돼지,"5,067,876","6,597,171",77%,3,돼지,3,,,
43760,괴산군,돼지,"1,057,160","1,654,469",64%,3,돼지,3,,,
43800,단양군,SNCR,"283,175","472,391",60%,15,SNCR,15,,,
43720,보은군,일반 소,"583,498","1,102,838",53%,2,일반 소,2,,,
43740,영동군,닭,"176,611","547,326",32%,5,닭,5,,,
43730,옥천군,일반 소,"334,516","954,425",35%,2,일반 소,2,,,
43770,음성군,닭,"825,702","2,078,417",40%,5,닭,5,,,
43150,제천시,일반 소,"246,978","702,015",35%,2,일반 소,2,,,
43745,증평군,돼지,"137,993","289,604",48%,3,돼지,3,,,
43750,진천군,돼지,"575,964","1,489,719",39%,3,돼지,3,,,
43111,청주시 상당구,일반 소,"330,464","655,822",50%,2,일반 소,2,,,
43112,청주시 서원구,일반 소,"81,242","297,291",27%,2,일반 소,2,,,
43114,청주시 청원구,일반 소,"430,297","1,074,359",40%,2,일반 소,2,,,
43113,청주시 흥덕구,일반 소,"206,973","909,203",23%,2,일반 소,2,,,
43130,충주시,돼지,"761,739","1,871,013",41%,3,돼지,3,,,
