SIG_CD,SIG_KOR_NM,density,log_density,local_I_density,local_p_sim_density,local_q_density,lisa_sig_density,lisa_cluster_density,lisa_hh_density
41500,ÀÌÃµ½Ã,11592.52067405133,9.358201658458482,1.1336781604801636,0.277,1,False,Not significant,False
41550,¾È¼º½Ã,8928.761132069754,9.097144924584427,0.0,0.001,4,True,HL,False
41570,±èÆ÷½Ã,3471.471761574367,8.152621942579414,0.0,0.001,4,True,HL,False
41590,È­¼º½Ã,5108.957556595211,8.538946377213199,0.4018866721349974,0.142,1,False,Not significant,False
41610,±¤ÁÖ½Ã,987.4505756689304,6.896138642037377,0.02626908594683061,0.475,3,False,Not significant,False
41630,¾çÁÖ½Ã,4140.306071564825,8.328766493290587,0.2474042499829533,0.156,1,False,Not significant,False
41650,Æ÷Ãµ½Ã,5548.155843307284,8.621401094867062,-0.16671356773420035,0.348,4,False,Not significant,False
41670,¿©ÁÖ½Ã,4183.858142057211,8.339228085588545,0.0,0.001,4,True,HL,False
41820,°¡Æò±º,607.0524437232624,6.410261134370108,0.6475784268853979,0.041,3,True,LL,False
41830,¾çÆò±º,1101.2716312659734,7.005128448691414,0.6929210283225653,0.006,3,True,LL,False
43111,Ã»ÁÖ½Ã »ó´ç±¸,1627.1558389021818,7.3952032661226115,0.20364768453537432,0.471,3,False,Not significant,False
43112,Ã»ÁÖ½Ã ¼­¿ø±¸,2413.8934664389535,7.789410451837858,0.20364768453537432,0.294,3,False,Not significant,False
43113,Ã»ÁÖ½Ã Èï´ö±¸,4574.875386890276,8.428553300802973,0.4043776606454029,0.205,1,False,Not significant,False
43114,Ã»ÁÖ½Ã Ã»¿ø±¸,5005.225106855122,8.518437438390848,0.40437766064540287,0.261,1,False,Not significant,False
43130,ÃæÁÖ½Ã,1907.6043432936447,7.554127543624306,0.2518905974257166,0.285,3,False,Not significant,False
43150,Á¦Ãµ½Ã,795.9363637603878,6.680774830885251,0.9547931506264787,0.009,3,True,LL,False
43720,º¸Àº±º,1891.0051587577839,7.545392476224271,0.2875083724090203,0.246,3,False,Not significant,False
43730,¿ÁÃµ±º,1763.4547636863097,7.475597005884631,0.48728581032017054,0.032,3,True,LL,False
43740,¿µµ¿±º,642.3879541421048,6.4667478924383435,0.9059716206587642,0.025,3,True,LL,False
43745,ÁõÆò±º,3539.093274952173,8.17190835463724,-0.0679772567596533,0.384,4,False,Not significant,False
43750,ÁøÃµ±º,3653.0225188831087,8.20358389972222,0.058939829829106505,0.339,1,False,Not significant,False
43760,±«»ê±º,1965.9196281601544,7.584223957442495,0.1533986946584049,0.325,3,False,Not significant,False
43770,À½¼º±º,4004.494535278323,8.29542233134974,0.5793352715481856,0.029,1,True,HH,True
43800,´Ü¾ç±º,605.7713488834398,6.408152029621728,0.8509038657981118,0.012,3,True,LL,False
44131,Ãµ¾È½Ã µ¿³²±¸,8524.012954391925,9.050759821727329,1.7177297789374375,0.135,1,False,Not significant,False
44133,Ãµ¾È½Ã ¼­ºÏ±¸,6314.001993577549,8.750683350473782,1.5667091409768084,0.068,1,False,Not significant,False
44150,°øÁÖ½Ã,2580.9955735011577,7.85631785703686,-0.0,0.001,3,True,LL,False
44200,¾Æ»ê½Ã,4038.5894319655586,8.30389834003985,0.49939369847522397,0.01,1,True,HH,True
44210,¼­»ê½Ã,2058.1965308819595,7.63007115214831,-0.0,0.001,3,True,LL,False
44230,³í»ê½Ã,4648.797079389291,8.444578858788187,-0.18115218762095078,0.333,4,False,Not significant,False
44250,°è·æ½Ã,861.1228686177952,6.759397799505738,-0.554008407580088,0.235,2,False,Not significant,False
44270,´çÁø½Ã,8304.666648636878,9.024693289582869,0.0,0.001,4,True,HL,False
44710,±Ý»ê±º,872.948027364599,6.773020908629511,0.5958598370107205,0.039,3,True,LL,False
44770,¼­Ãµ±º,2583.648662970214,7.857344863960821,-0.0,0.001,3,True,LL,False
44790,Ã»¾ç±º,2614.247995558053,7.8691142077798535,-0.0,0.001,3,True,LL,False
44800,È«¼º±º,14884.898154063425,9.608169611170227,6.391448765402408,0.096,1,False,Not significant,False
44810,¿¹»ê±º,6546.969691904792,8.786910309876891,3.4242058406269704,0.009,1,True,HH,True
46110,¸ñÆ÷½Ã,5541.28059589689,8.620161354941821,0.0,0.001,4,True,HL,False
46130,¿©¼ö½Ã,3403.476560536563,8.132846480051784,-0.019238400201052715,0.486,4,False,Not significant,False
46150,¼øÃµ½Ã,1961.3135747508466,7.581879451386841,0.26679456073092966,0.359,3,False,Not significant,False
46170,³ªÁÖ½Ã,6208.323952457199,8.733807304662758,0.03046541146873081,0.422,1,False,Not significant,False
46230,±¤¾ç½Ã,2615.7822203933256,7.8697006817931605,-0.019238400201052712,0.385,2,False,Not significant,False
46710,´ã¾ç±º,2431.10079346068,7.796510686906807,0.16737469285940695,0.111,3,False,Not significant,False
46720,°î¼º±º,1692.2792204905852,7.434422294990603,0.3261696779847623,0.109,3,False,Not significant,False
46730,±¸·Ê±º,1301.4160362806676,7.171976308041536,0.32559038123540657,0.317,3,False,Not significant,False
46770,°íÈï±º,2055.5793161497945,7.6287993554410996,-0.0,0.001,3,True,LL,False
46780,º¸¼º±º,1890.8183122535215,7.5452937155363875,0.26679456073092966,0.374,3,False,Not significant,False
46790,È­¼ø±º,1223.6700646331537,7.1104267517083,-0.0779111640091063,0.385,2,False,Not significant,False
46800,ÀåÈï±º,2889.3839478640216,7.969144626214363,-0.0060598330086245765,0.434,2,False,Not significant,False
46810,°­Áø±º,2520.111944393768,7.8324553309596014,-0.03383093689035376,0.393,2,False,Not significant,False
46830,¿µ¾Ï±º,4122.556378773378,8.324471268733204,0.13103999671273814,0.263,1,False,Not significant,False
46840,¹«¾È±º,6814.3896084619355,8.826938511749935,-0.4317529544954122,0.385,4,False,Not significant,False
46860,ÇÔÆò±º,7149.468451432972,8.874933151224797,0.008588691191321196,0.433,1,False,Not significant,False
46870,¿µ±¤±º,3360.268485082974,8.120073707034809,0.0,0.001,4,True,HL,False
46880,Àå¼º±º,2018.848560453597,7.6107778175123775,-0.17846971588892654,0.188,2,False,Not significant,False
46890,¿Ïµµ±º,632.8825293703387,6.451863652365029,-0.0,0.001,3,True,LL,False
46900,Áøµµ±º,670.8260791304589,6.5099994962080805,-0.0,0.001,3,True,LL,False
