SIG_CD,SIG_KOR_NM,배출량,area_km2,density,log_density,hotspot_p10,hotspot_p15,hotspot_p20,cluster_density_spatial_k4,hotspot_kmeans_density_spatial_k4,돼지,소,dominant,dominant_group
11110,Á¾·Î±¸,44464,23.971611814581117,1854.860672028489,7.526103841578164,False,False,False,2,True,0,0,돼지,돼지
11140,Áß±¸,40010,9.962768317184539,4015.9520653499203,8.29827870134059,False,False,False,2,True,0,5640,일반 소,소
11170,¿ë»ê±¸,64731,21.897558894585128,2956.082927399127,7.9919585638958734,False,False,False,2,True,0,0,돼지,돼지
11200,¼ºµ¿±¸,82201,16.800779553624494,4892.68963607504,8.495701824761385,False,False,False,2,True,0,0,돼지,돼지
11215,±¤Áø±¸,95514,17.028811488307774,5608.964551964256,8.63229967977383,False,True,True,2,True,0,0,돼지,돼지
11230,µ¿´ë¹®±¸,96511,14.235452203042,6779.62305822476,8.821824273205545,True,True,True,2,True,0,0,돼지,돼지
11260,Áß¶û±¸,107568,18.526380677135563,5806.206936725404,8.666855000474223,False,True,True,2,True,0,0,돼지,돼지
11290,¼ººÏ±¸,120764,24.5903031950883,4911.041520794325,8.499444922721693,False,False,False,2,True,0,0,돼지,돼지
11305,°­ºÏ±¸,80088,23.620553344264312,3390.606427916197,8.129058960674012,False,False,False,2,True,0,0,돼지,돼지
11320,µµºÀ±¸,86748,20.672798787539055,4196.238781770038,8.342182155155783,False,False,False,2,True,0,0,돼지,돼지
11350,³ë¿ø±¸,146359,35.581516758640106,4113.343480908814,8.322234557468827,False,False,False,2,True,0,0,돼지,돼지
11380,ÀºÆò±¸,131471,29.77208825961161,4415.914626262602,8.393196682965673,False,False,False,2,True,0,0,돼지,돼지
11410,¼­´ë¹®±¸,86733,17.678803033150867,4906.044817477765,8.498427169424547,False,False,False,2,True,0,0,돼지,돼지
11440,¸¶Æ÷±¸,256069,23.846405010210844,10738.264316585803,9.281661866329868,True,True,True,2,True,0,0,돼지,돼지
11470,¾çÃµ±¸,127923,17.450153598296076,7330.766418726026,8.899971750667897,True,True,True,2,True,0,37,일반 소,소
11500,°­¼­±¸,170657,41.422204209587974,4119.940096294975,8.323836595027142,False,False,False,2,True,7538,6871,돼지,돼지
11530,±¸·Î±¸,111281,20.07525317045213,5543.192858149831,8.620506327088254,False,True,True,2,True,0,0,돼지,돼지
11545,±ÝÃµ±¸,66115,13.005544581952002,5083.601042877422,8.53397184776014,False,False,True,2,True,0,0,돼지,돼지
11560,¿µµîÆ÷±¸,109645,24.51152118787409,4473.202587452697,8.406083422082741,False,False,False,2,True,0,22,일반 소,소
